9383 	 19
886 	 17
2777 	 3
6915 	 4
7793 	 5
8335 	 6
5386 	 7
492 	 8
6649 	 4
1421 	 2
2362 	 11
27 	 12
8690 	 13
59 	 12
7763 	 5
3926 	 18
540 	 8
3426 	 18
9172 	 19
5736 	 20
5211 	 7
5368 	 7
2567 	 11
6429 	 9
5782 	 20
1530 	 2
2862 	 3
5123 	 7
4067 	 16
3135 	 3
3929 	 18
9802 	 1
4022 	 18
3058 	 3
3069 	 3
8167 	 6
1393 	 2
8456 	 6
5011 	 7
8042 	 6
6229 	 9
7373 	 15
4421 	 16
4919 	 7
3784 	 18
8537 	 13
5198 	 7
4324 	 16
8315 	 6
4370 	 16
6413 	 9
3526 	 18
6091 	 9
8980 	 19
9956 	 1
1873 	 10
6862 	 4
9170 	 19
6996 	 4
7281 	 15
2305 	 11
925 	 17
7084 	 4
6327 	 9
336 	 14
6505 	 9
846 	 17
1729 	 10
1313 	 2
5857 	 20
6124 	 9
3895 	 18
9582 	 1
545 	 8
8814 	 13
3367 	 18
5434 	 7
364 	 14
4043 	 18
3750 	 18
1087 	 17
6808 	 4
7276 	 15
7178 	 15
5788 	 20
3584 	 18
5403 	 7
2651 	 11
2754 	 3
2399 	 11
9932 	 1
5060 	 7
9676 	 1
3368 	 18
7739 	 5
12 	 12
6226 	 9
8586 	 13
8094 	 6
7539 	 15
795 	 8
570 	 8
1434 	 2
378 	 14
7467 	 15
6601 	 4
97 	 12
2902 	 3
3317 	 3
492 	 8
6652 	 4
756 	 8
7301 	 15
280 	 14
4286 	 16
9441 	 19
3865 	 18
9689 	 1
8444 	 6
6619 	 4
8440 	 6
4729 	 16
8031 	 6
8117 	 6
8097 	 6
5771 	 20
4481 	 16
675 	 8
709 	 8
8927 	 13
4567 	 16
7856 	 5
9497 	 1
2353 	 11
4586 	 16
6965 	 4
5306 	 7
4683 	 16
6219 	 9
8624 	 13
1528 	 2
2871 	 3
5732 	 20
8829 	 13
9503 	 1
19 	 12
8270 	 6
3368 	 18
9708 	 1
6715 	 4
6340 	 9
8149 	 6
7796 	 5
723 	 8
2618 	 11
2245 	 11
2846 	 3
3451 	 18
2921 	 3
3555 	 18
2379 	 11
7488 	 15
7764 	 5
8228 	 6
9841 	 1
2350 	 11
5193 	 7
1500 	 2
7034 	 4
7764 	 5
124 	 12
4914 	 7
6987 	 4
5856 	 20
3743 	 18
6491 	 9
2227 	 11
8365 	 6
9859 	 1
1936 	 10
1432 	 2
2551 	 11
6437 	 9
9228 	 19
3275 	 3
5407 	 7
1474 	 2
6121 	 9
8858 	 13
4395 	 16
6029 	 9
1237 	 2
8235 	 6
3793 	 18
5818 	 20
4428 	 16
6143 	 9
1011 	 17
5928 	 20
9529 	 1
8776 	 13
2404 	 11
4443 	 16
5763 	 20
4613 	 16
4538 	 16
8606 	 13
6840 	 4
2904 	 3
4818 	 7
5128 	 7
688 	 8
7369 	 15
7917 	 5
9917 	 1
6996 	 4
3324 	 3
7743 	 5
9470 	 1
2183 	 11
8490 	 13
5499 	 20
9772 	 1
6725 	 4
5644 	 20
5590 	 20
7505 	 15
8139 	 6
2954 	 3
9786 	 1
7669 	 5
8082 	 6
8542 	 13
8464 	 6
197 	 12
9507 	 1
9355 	 19
8804 	 13
6348 	 9
8611 	 13
3622 	 18
7828 	 5
9299 	 19
7343 	 15
5746 	 20
5568 	 20
4340 	 16
5422 	 7
3311 	 3
3810 	 18
7605 	 5
1801 	 10
5661 	 20
3730 	 18
4878 	 7
1305 	 2
9320 	 19
8736 	 13
9444 	 19
8626 	 13
8522 	 13
3465 	 18
6708 	 4
3416 	 18
8282 	 6
3258 	 3
2924 	 3
7637 	 5
2062 	 10
5624 	 20
2600 	 11
2036 	 10
3452 	 18
1899 	 10
9379 	 19
5550 	 20
7468 	 15
71 	 12
973 	 17
7131 	 15
3881 	 18
4930 	 7
8933 	 13
5894 	 20
8660 	 13
163 	 12
7199 	 15
7981 	 5
8899 	 13
2996 	 3
2959 	 3
3773 	 18
2813 	 3
9668 	 1
7190 	 15
1095 	 17
2926 	 3
6466 	 9
5084 	 7
1340 	 2
2090 	 10
7684 	 5
3376 	 18
5542 	 20
5936 	 20
9107 	 19
7445 	 15
9756 	 1
9179 	 19
8418 	 6
